uniprot	error
A0A1B0GTB2	PDB/PAE files not found
C0HLU2	PDB/PAE files not found
O95278	PDB/PAE files not found
P0DOX3	PDB/PAE files not found
P0DOX4	PDB/PAE files not found
P0DPB5	PDB/PAE files not found
P0DUH7	PDB/PAE files not found
P0DW28	PDB/PAE files not found
P18283	PDB/PAE files not found
P36969	PDB/PAE files not found
P49895	PDB/PAE files not found
P61573	PDB/PAE files not found
P61575	PDB/PAE files not found
P62683	PDB/PAE files not found
Q69384	PDB/PAE files not found
Q9BQY6	PDB/PAE files not found
Q9BXH1	PDB/PAE files not found
